Probabilities,H_X,H_Y,H_XY,P,E,Error Detection Rate,Correction Capability,Adaptation Rate,Spatial Scale,Temporal Scale,Intelligence
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.75,0.75,1.0,1.0,1.0,1.3906910761394685e-05
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.75,0.75,1.0,1.0,1.5,9.27127384092979e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.75,0.75,1.0,1.5,0.5,1.854254768185958e-05
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.75,0.75,1.0,1.5,1.0,9.27127384092979e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.75,0.75,1.0,1.5,1.5,6.180849227286527e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.75,1.0,0.3,0.5,0.5,2.225105810240907e-05
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.75,1.0,0.3,0.5,1.0,1.1125529051204536e-05
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.75,1.0,0.3,0.5,1.5,7.417019367469691e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.75,1.0,0.3,1.0,0.5,1.1125529051204536e-05
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.75,1.0,0.3,1.0,1.0,5.562764525602268e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.75,1.0,0.3,1.0,1.5,3.7085096837348454e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.75,1.0,0.3,1.5,0.5,7.417019367469691e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.75,1.0,0.3,1.5,1.0,3.7085096837348454e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.75,1.0,0.3,1.5,1.5,2.4723397891565633e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.75,1.0,0.5333333333333333,0.5,0.5,3.955743711771478e-05
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.75,1.0,0.5333333333333333,0.5,1.0,1.977871855885739e-05
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.75,1.0,0.5333333333333333,0.5,1.5,1.3185812372571594e-05
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.75,1.0,0.5333333333333333,1.0,0.5,1.977871855885739e-05
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.75,1.0,0.5333333333333333,1.0,1.0,9.889359279428695e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.75,1.0,0.5333333333333333,1.0,1.5,6.592906186285797e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.75,1.0,0.5333333333333333,1.5,0.5,1.3185812372571594e-05
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.75,1.0,0.5333333333333333,1.5,1.0,6.592906186285797e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.75,1.0,0.5333333333333333,1.5,1.5,4.3952707908571976e-06
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.75,1.0,0.7666666666666666,0.5,0.5,5.6863811712132616e-05
[0.1 0.1 0.8],0.2,0.2,0.5,100.0,20.0,0.75,1.0,0.7666666666666666,0.5,1.0,2.8431905856066308e-05
